repo,ecosystem_manager,action,status,detail
blaze,none,none-needed,ok,no Python dependency manifest found in repo root
bokeh,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bolt,none,none-needed,ok,no Python dependency manifest found in repo root
bowtie,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bqplot,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
breze,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
bytehub,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
caffe,none,none-needed,ok,no Python dependency manifest found in repo root
catalyst,pyproject-other,poetry init + poetry lock,fixed,"generated from requirements/; also fixed a malformed version specifier in requirements-cv.txt blocking pip scan; Dependabot Updates itself still fails on torch-xla/poetry-core (upstream quirk), but Dependency Graph succeeded"
catboost,none,none-needed,ok,no Python dependency manifest found in repo root
chainer,none,none-needed,ok,no Python dependency manifest found in repo root
chefboost,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
chemicalx,pyproject-other,poetry init + poetry lock,fixed,"generated, dropped torchdrug (no version compatible with the rest of the stack); Dependency Graph succeeded, Dependabot Updates job fails separately (upstream issue)"
cleanlab,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
climin,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
cltk,uv,none-needed,ok,uv.lock already present
colibri-core,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
comet-llm,none,none-needed,ok,no Python dependency manifest found in repo root
convnet-benchmarks,none,uv init + import-scan,failed,"re-confirmed 2026-08-15: nervanagpu and PyDeepCL are both dead/unpublished packages; pycuda resolves but fails to build from source (needs a CUDA toolchain/cuda.h, unavailable on this arm64 Mac with no NVIDIA GPU) -- genuinely unresolvable in this environment"
cornac,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
cortex,n/a,excluded-non-python,n/a,"Go-based ML model serving platform; not a python-import package, not scanned"
couler,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
crab,none,none-needed,ok,no Python dependency manifest found in repo root
d3py,none,none-needed,ok,no Python dependency manifest found in repo root
danswerai,none,codeql default-setup fix,fixed,"CodeQL was failing due to GitHub default-setup conflict; disabled default-setup, retried, succeeded. Dependabot/Semgrep already ok"
dash,none,branch-mismatch fix,fixed,"CI files existed only on master, not the actual default branch dev; restored codeql.yml/semgrep.yml/dependabot.yml on dev directly, pushed, triggered"
datacompy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
deap,none,none-needed,ok,no Python dependency manifest found in repo root
dedupe,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
deep-learning-project-template,requirements.txt,poetry init + poetry lock,fixed,"generated from root requirements.txt, pushed"
deepchecks,none,none-needed,ok,no Python dependency manifest found in repo root
deepface,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
deeplake,none,none-needed,ok,no Python dependency manifest found in repo root
deeppy,requirements.txt,poetry init + poetry lock,fixed,"generated; relaxed numpy pin to resolve for requires-python >=3.10,<3.13"
detecto,requirements.txt,poetry init + poetry lock,fixed,generated; bumped requires-python floor to 3.11 for matplotlib/pandas
detectron2,none,poetry init + poetry lock,fixed,generated from docs/requirements.txt; resolved several version conflicts by bumping requires-python floor to 3.12
determined,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
dirty_cat,pyproject-other,poetry init + poetry lock,fixed,generated from .binder/requirements.txt; dropped self-referential dirty-cat dep; bumped python floor to 3.11
distance,none,none-needed,ok,no Python dependency manifest found in repo root
dl-translate,none,none-needed,ok,no Python dependency manifest found in repo root
dora,none,none-needed,ok,no Python dependency manifest found in repo root
dowel,none,none-needed,ok,no Python dependency manifest found in repo root
dtaidistance,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
einops,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
emcee,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
eurybia,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
evidently,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
evostra,none,none-needed,ok,no Python dependency manifest found in repo root
face_recognition,pyproject-other,poetry init + poetry lock,fixed,generated; bumped python floor to 3.12 for scipy
fastapi,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
feast,uv,uv lock,fixed,"uv.lock generated and pushed to fcas/feast (was gitignored upstream, force-added)"
featureforge,none,branch fix + dispatch,fixed,"was stuck on stale develop HEAD with no workflow file there; retried on master, succeeded. Dependabot already ok"
frouros,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
gan,none,none-needed,ok,no Python dependency manifest found in repo root
garage,none,none-needed,ok,no Python dependency manifest found in repo root
gensim,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
ggpy,none,none-needed,ok,no Python dependency manifest found in repo root
gradio,uv,uv lock,fixed,uv.lock generated and pushed to fcas/gradio
gym,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
haystack,uv,uv lock,fixed,"uv.lock generated and pushed to fcas/haystack (was gitignored upstream, force-added)"
hdbscan,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
hebel,none,uv init + import-scan,failed,"skdata==0.0.4 build fails (doesn't declare numpy as a build dependency, legacy package)"
hyperopt-sklearn,requirements.txt,uv pip compile,fixed,requirements.lock.txt generated (via uv pip compile requirements.txt) and pushed to fcas/hyperopt-sklearn
igel,poetry,security_and_analysis toggle,fixed,"poetry.lock already present; Dependabot Updates workflow had never been provisioned by GitHub -- forced via disable/re-enable toggle of dependabot_security_updates, workflow appeared and a run succeeded"
imbalanced-ensemble,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
imutils,none,none-needed,ok,no Python dependency manifest found in repo root
ipychart,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
jProcessing,none,none-needed,ok,no Python dependency manifest found in repo root
jax,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
jellyfish,cargo (added 2026-08-15),fixed,ok,"Dependabot alert error named pyo3 (Cargo dep) as unresolvable because no Cargo.lock existed and dependabot.yml only had a pip entry; generated Cargo.lock (was gitignored, force-added) and added a cargo ecosystem block to dependabot.yml"
jieba,none,none-needed,ok,no Python dependency manifest found in repo root
joliGEN,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
karateclub,none,none-needed,ok,no Python dependency manifest found in repo root
keras,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
keras-tuner,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
lab,n/a,excluded-non-python,n/a,"DeepMind Lab, C/Lua engine built via Bazel; no pip-installable package, not scanned"
lambdo,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
langflow,uv,none-needed,ok,uv.lock already present
langfuse,n/a,excluded-non-python,n/a,"TypeScript/JavaScript platform; no meaningful python codebase, not scanned"
learnergy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
lifelines,none,none-needed,ok,no Python dependency manifest found in repo root
lightly,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
lightning-bolts,requirements.txt,uv pip compile,fixed,requirements.lock.txt generated (via uv pip compile requirements.txt) and pushed to fcas/lightning-bolts
lightwood,poetry,none-needed,ok,poetry.lock already present
lime,none,none-needed,ok,no Python dependency manifest found in repo root
litellm,uv,none-needed,ok,uv.lock already present
littleballoffur,none,none-needed,ok,no Python dependency manifest found in repo root
loso,none,uv init + import-scan,fixed,"pyproject.toml+uv.lock generated (redis, pyyaml, lxml from setup.py), pushed; Dependency Graph succeeded"
lucent,none,dispatch,fixed,"same branch fix as featureforge, on master"
machine-learning,none,uv init + import-scan,failed,mysqlclient build requires system MySQL client headers/pkg-config not present in this environment
mars,pyproject-other,uv init + import-scan,failed,"python-version-marker split conflict during uv add; not resolved further, build-only pyproject.toml left as-is"
matplotlib,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
maze,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
metric-learn,none,none-needed,ok,no Python dependency manifest found in repo root
mindsdb,none,none-needed,ok,no Python dependency manifest found in repo root
minigrad,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
miraiml,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
mist,n/a,excluded-non-python,n/a,"Scala/Spark job server; not a python-import package, not scanned"
mlens,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
mlflow,uv,none-needed,ok,uv.lock already present
mljar-supervised,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
mlx,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
mlxtend,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
modAL,none,none-needed,ok,no Python dependency manifest found in repo root
nalp,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
neofuzz,poetry,poetry lock,fixed,poetry.lock generated and pushed to fcas/neofuzz
neural-style-pt,uv-pip,fixed,ok,"no manifest existed; language stats re-checked (100% Python by GH byte count, not Lua/C++ as previously assumed); import-scan generated pyproject.toml + uv.lock, pushed 2026-08-15"
neuraltalk,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
neuraltalk2,none,none-needed,ok,"import-scan re-attempted, zero external imports found, nothing to track"
neurolab,none,none-needed,ok,no Python dependency manifest found in repo root
neuropredict,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
nilearn,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
nn_builder,requirements.txt,poetry init + poetry lock,fixed,"generated, pushed"
notebook,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
numpy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
numpy-ml,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
nupic.studio,none,uv init + import-scan,failed,"setup.py calls Python-2-only execfile() before reaching setup(), automated extraction crashes"
nut,none,none-needed,ok,no Python dependency manifest found in repo root
open-metric-learning,none,none-needed,ok,no Python dependency manifest found in repo root
open-webui,none,codeql default-setup fix,fixed,"CodeQL failing on GitHub default-setup conflict; fixed via disable default-setup + retry, succeeded"
openpose,n/a,excluded-non-python,n/a,"C++/CUDA computer vision engine; no python-ecosystem package, not scanned"
opfython,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
optuna,uv,uv lock,fixed,"uv.lock generated and pushed to fcas/optuna (was gitignored upstream, force-added)"
opytimizer,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pandas,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
paramonte,uv-pip,fixed,ok,"python component had no manifest (repo is primarily Fortran); import-scan generated pyproject.toml + uv.lock, pushed 2026-08-15"
pastalog,none,uv init + import-scan,fixed,"setup.py lives in a subdir but dependabot.yml targets root; generated pyproject.toml/uv.lock (requests) at repo root, pushed"
pattern,none,uv init + import-scan,failed,"setup.py self-imports (from pattern import __version__) before setup(); manual extraction attempted, failed on mysqlclient system deps"
pebl,none,failed,failed,"setup.py has Python-2-only syntax (SyntaxError parsing it); import-scan fallback attempted, resolved packages fail to install, unresolvable"
pgmpy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pix2pix-keras,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pkuseg-python,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
polyglot,requirements.txt,poetry init + poetry lock,fixed,generated; dropped Python-2-only futures backport (no Python 3 release)
pomegranate,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
prodmodel,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pybrain,none,none-needed,ok,no Python dependency manifest found in repo root
pybroker,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pycm,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pydantic,uv,none-needed,ok,uv.lock already present
pydexter,none,none-needed,ok,no Python dependency manifest found in repo root
pyhsmm,none,uv init + import-scan,failed,pybasicbayes>=0.1.3 fails to build under modern setuptools (__NUMPY_SETUP__ AttributeError)
pymc,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pynlpl,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pyod,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pyqtgraph,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pyss3,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytensor,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytesseract,none,none-needed,ok,no Python dependency manifest found in repo root
python-frog,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
python-neuron,none,uv init + import-scan,ok,"only 2 .py files, no external imports found beyond stdlib, nothing for Dependabot to track"
python-recsys,none,uv init + import-scan,failed,csc-pysparse is Python-2-only (print-statement syntax error in its own setup.py)
python-timbl,none,none-needed,ok,no Python dependency manifest found in repo root
python-ucto,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch-frame,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch-image-models,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch-lightning,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
pytorch_geometric,uv,uv lock,fixed,"uv.lock generated and pushed to fcas/pytorch_geometric (was gitignored upstream, force-added)"
pytorch_geometric_temporal,none,none-needed,ok,no Python dependency manifest found in repo root
quepy,none,branch-mismatch fix,fixed,same branch fix as dash: CI restored on actual default branch develop; also refo dependency fails to build (distutils.util.run_2to3 removed) so Dependabot still needs manual attention there
rasa,poetry,dispatch,fixed,already had poetry.lock; needed a push to get a fresh in-window Dependency Graph run
ray,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
recommenders,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
rep,requirements.txt,poetry init + poetry lock,fixed,"generated, pushed; Dependency Graph succeeded"
retinaface,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
retro,none,none-needed,ok,no Python dependency manifest found in repo root
rexmex,none,poetry init + poetry lock,fixed,generated from setup.py install_requires (moved aside old stub pyproject.toml); Dependency Graph succeeded
rgf,none,uv init + import-scan,fixed,"nested python-package/setup.py deps extracted via sandboxed exec, uv.lock at repo root; Dependency Graph succeeded"
river,uv,none-needed,ok,uv.lock already present
rockpool,none,branch-mismatch fix,fixed,same branch fix as dash/paramonte: CI restored on actual default branch develop
rosetta,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-image,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-learn,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-learn-intelex,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-multiflow,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-opt,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-plot,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
scikit-survival,pyproject-other,uv lock,fixed,uv.lock generated and pushed to fcas/scikit-survival (build first needed the eigen git submodule initialized locally to resolve the C++ extension's build metadata)
seaborn,uv,uv lock,fixed,"uv.lock generated and pushed to fcas/seaborn (was gitignored upstream, force-added)"
segmentation_models,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
segmentation_models.pytorch,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sentiment-analyzer,uv-pip,fixed,ok,"import-scan found disco/django/mongoengine/numpy/requests/scikit-learn/scipy (mongonaut dropped, dead package; false-positive 'local' from a .py.sample file excluded); resolved under Python 3.10 (disco's setup.py uses pkgutil.find_loader, removed in 3.12+), pushed 2026-08-15"
sentiment_classifier,none,none-needed,ok,no Python dependency manifest found in repo root
sequitur,none,none-needed,ok,no Python dependency manifest found in repo root
shapash,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
shapley,none,none-needed,ok,no Python dependency manifest found in repo root
shogun,requirements.txt,poetry init + poetry lock,fixed,used doc/cookbook/requirements.txt (only manifest available); Dependency Graph succeeded
simpleai,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sinabs,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
skbel,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sklearn-bayes,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
skll,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
skorch,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sktime,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
snips-nlu,none,uv init + import-scan,failed,snips-nlu-parsers/snips-nlu-utils (Rust-backed) fail to build -- missing setuptools_rust as a declared build dependency upstream
snownlp,none,none-needed,ok,no Python dependency manifest found in repo root
somoclu,none,none-needed,ok,no Python dependency manifest found in repo root
spaCy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
spammy,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sparklingpandas,none,none-needed,ok,no Python dependency manifest found in repo root
stacked_generalization,none,none-needed,ok,no Python dependency manifest found in repo root
stanford-corenlp-python,none,uv init + import-scan,fixed,"pyproject.toml + uv.lock generated from a single import found (pexpect), pushed to fcas/stanford-corenlp-python"
statsmodels,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
stellargraph,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
streamlit,uv,none-needed,ok,uv.lock already present
suiron,requirements.txt,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
superset,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
sympy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
synthia,none,none-needed,ok,no Python dependency manifest found in repo root
tdb,n/a,excluded-non-python,n/a,"TensorFlow Debugger; JS/Jupyter frontend, python role is thin glue only, not scanned"
tensorflow,none,none-needed,ok,no Python dependency manifest found in repo root
tensorwatch,none,none-needed,ok,no Python dependency manifest found in repo root
tesseract,n/a,excluded-non-python,n/a,"C++ OCR engine; python usage lives in the separate pytesseract package, not scanned"
textacy,pyproject-other,uv add,fixed,"uv.lock added to existing pyproject.toml, pushed; Dependency Graph succeeded"
tflearn,none,none-needed,ok,no Python dependency manifest found in repo root
topicwizard,poetry,poetry lock,failed,"dependency conflict in project's own pyproject.toml: dash-extensions (^1.0.4) requires dash>=3.0.0, but topic-wizard pins dash ^2.7.1 -- poetry lock cannot resolve; requires editing the fork's own dependency constraints, out of scope for a lockfile-only fix"
tpot,poetry,retrigger,fixed,"existing poetry.lock was failing on a transient GitHub-side Dependency Snapshot API error; retriggered by touching pyproject.toml, succeeded"
transformers,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
typer,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
upgini,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
vigra,none,none-needed,ok,no Python dependency manifest found in repo root
vispy,pyproject-other,none-needed,ok,Dependabot pip ecosystem does not require a lockfile for this manager
visualize_ML,none,none-needed,ok,no Python dependency manifest found in repo root
xcessiv,requirements.txt,poetry init + poetry lock,fixed,"generated; narrowed requires-python to >=3.12,<3.13 for scipy"
xgboost,none,none-needed,ok,no Python dependency manifest found in repo root
xlearn,none,uv init + import-scan,fixed,"generated from nested python-package/setup.py (numpy, scipy); Dependency Graph succeeded"
yalign,none,branch-mismatch fix,fixed,workflows only triggered on push to master while default branch is develop; restored on develop directly
zipline,none,uv init + import-scan,failed,legacy bcolz==1.2.1 fails to build under modern Python/uv build isolation (ModuleNotFoundError: pkg_resources)
zpar,none,none-needed,ok,"re-confirmed 2026-08-15: import-scan finds zero external imports in the python wrapper scripts, nothing to generate a manifest for"
