,nature,type,id,description,cwe_counts,repos
15,CanPrecede,base,41,Improper Resolution of Path Equivalence,162,"['spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai']"
16,CanPrecede,base,59,Improper Link Resolution Before File Access ('Link Following'),45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
17,CanPrecede,base,182,Collapse of Data into Unsafe Value,2,['catboost']
18,CanPrecede,base,215,Insertion of Sensitive Information Into Debugging Code,8,"['mindsdb', 'evidently', 'caffe', 'xcessiv', 'bokeh', 'face_recognition', 'CompreFace']"
19,CanPrecede,base,434,Unrestricted Upload of File with Dangerous Type,45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
20,CanPrecede,base,494,Download of Code Without Integrity Check,14,"['PyTorchCV', 'mindsdb', 'deepface', 'machine-learning', 'mlflow', 'cornac', 'pytorch']"
21,CanPrecede,base,770,Allocation of Resources Without Limits or Throttling,117,"['spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai']"
22,CanPrecede,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),136,"['spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'PyTorchCV', 'mindsdb', 'catboost', 'deepface', 'open-webui', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'PyTorchCV', 'mindsdb', 'catboost', 'deepface', 'open-webui', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'PyTorchCV', 'mindsdb', 'catboost', 'deepface', 'open-webui', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai']"
23,CanPrecede,class,119,Improper Restriction of Operations within the Bounds of a Memory Buffer,117,"['spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai']"
24,CanPrecede,composite,352,Cross-Site Request Forgery (CSRF),10,"['ray', 'litellm', 'open-webui', 'fastapi', 'danswerai']"
25,CanPrecede,variant,98,Improper Control of Filename for Include/Require Statement in PHP Program ('PHP Remote File Inclusion'),45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
26,CanPrecede,variant,187,Partial String Comparison,2,['catboost']
27,ChildOf,base,22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),270,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
28,ChildOf,base,94,Improper Control of Generation of Code ('Code Injection'),3,"['open-webui', 'cornac']"
29,ChildOf,base,312,Cleartext Storage of Sensitive Information,19,"['mindsdb', 'ray', 'catboost', 'langflow', 'mlflow', 'feast', 'determined']"
30,ChildOf,base,319,Cleartext Transmission of Sensitive Information,10,"['ray', 'litellm', 'open-webui', 'fastapi', 'danswerai']"
31,ChildOf,base,328,Use of Weak Hash,12,"['ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit']"
32,ChildOf,base,538,Insertion of Sensitive Information into Externally-Accessible File or Directory,138,"['DI-engine', 'ray', 'catboost', 'litellm', 'open-webui', 'bokeh', 'mlflow', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim']"
33,ChildOf,class,20,Improper Input Validation,45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
34,ChildOf,class,74,Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'),79,"['PyTorchCV', 'mindsdb', 'deepface', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'PyTorchCV', 'mindsdb', 'deepface', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'open-webui', 'cornac', 'open-webui', 'cornac', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
35,ChildOf,class,185,Incorrect Regular Expression,2,['catboost']
36,ChildOf,class,200,Exposure of Sensitive Information to an Unauthorized Actor,537,"['mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai', 'mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai', 'mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai', 'mindsdb', 'evidently', 'caffe', 'xcessiv', 'bokeh', 'face_recognition', 'CompreFace', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'DI-engine', 'ray', 'catboost', 'litellm', 'open-webui', 'bokeh', 'mlflow', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim']"
37,ChildOf,class,287,Improper Authentication,12,"['catboost', 'ray', 'catboost', 'ray']"
38,ChildOf,class,311,Missing Encryption of Sensitive Data,314,"['mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim']"
39,ChildOf,class,326,Inadequate Encryption Strength,12,"['ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit']"
40,ChildOf,class,327,Use of a Broken or Risky Cryptographic Algorithm,24,"['ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit', 'ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit']"
41,ChildOf,class,407,Inefficient Algorithmic Complexity,68,"['ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'streamlit', 'gensim', 'ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'streamlit', 'gensim', 'ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'streamlit', 'gensim', 'ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'streamlit', 'gensim']"
42,ChildOf,class,441,Unintended Proxy or Intermediary ('Confused Deputy'),10,"['mindsdb', 'deepface', 'open-webui', 'machine-learning', 'cortex', 'danswerai']"
43,ChildOf,class,610,Externally Controlled Reference to a Resource in Another Sphere,75,"['face_recognition', 'superset', 'DIGITS', 'face_recognition', 'superset', 'DIGITS', 'mindsdb', 'deepface', 'open-webui', 'machine-learning', 'cortex', 'danswerai', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
44,ChildOf,class,642,External Control of Critical State Data,45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
45,ChildOf,class,668,Exposure of Resource to Wrong Sphere,131,"['pyss3', 'pytorch_geometric', 'gan', 'ray', 'catboost', 'ColossalAI', 'sinabs', 'bokeh', 'mlflow', 'feast', 'bentoml', 'LightGBM', 'detectron2', 'spaCy', 'determined', 'pytorch-lightning', 'pytorch', 'aim', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'tensorflow', 'mindsdb', 'DI-engine', 'nut', 'lightly', 'catboost', 'rasa', 'shogun', 'pytorch', 'gensim', 'transformers', 'python-timbl']"
46,ChildOf,class,706,Use of Incorrectly-Resolved Name or Reference,90,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
47,ChildOf,class,732,Incorrect Permission Assignment for Critical Resource,10,"['ray', 'litellm', 'open-webui', 'fastapi', 'danswerai']"
48,ChildOf,class,755,Improper Handling of Exceptional Conditions,78,"['mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai']"
49,ChildOf,class,913,Improper Control of Dynamically-Managed Code Resources,9,"['open-webui', 'cornac', 'superset', 'mars', 'ray', 'superset', 'mars', 'ray']"
50,ChildOf,class,922,Insecure Storage of Sensitive Information,157,"['mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim']"
51,ChildOf,class,923,Improper Restriction of Communication Channel to Intended Endpoints,10,"['ray', 'litellm', 'open-webui', 'fastapi', 'danswerai']"
52,ChildOf,pillar,664,Improper Control of a Resource Through its Lifetime,35,"['ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'danswerai', 'streamlit', 'gensim', 'ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'danswerai', 'streamlit', 'gensim', 'ray', 'deeplake', 'catboost', 'litellm', 'langflow', 'open-webui', 'scikit-learn-intelex', 'numpy', 'transformers', 'DIGITS', 'danswerai', 'streamlit', 'gensim']"
53,ChildOf,pillar,693,Protection Mechanism Failure,24,"['mindsdb', 'ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit', 'mindsdb', 'ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit', 'mindsdb', 'ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit']"
54,ChildOf,pillar,697,Incorrect Comparison,2,['catboost']
55,ChildOf,pillar,707,Improper Neutralization,136,"['spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'PyTorchCV', 'mindsdb', 'catboost', 'deepface', 'open-webui', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'PyTorchCV', 'mindsdb', 'catboost', 'deepface', 'open-webui', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'PyTorchCV', 'mindsdb', 'catboost', 'deepface', 'open-webui', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai', 'spammy', 'mindsdb', 'pytensor', 'catboost', 'ViZDoom', 'rasa', 'pattern', 'AutoViz', 'numpy', 'nalp', 'pytorch', 'Auto_ViML', 'danswerai']"
56,ChildOf,pillar,710,Improper Adherence to Coding Standards,8,"['mindsdb', 'evidently', 'caffe', 'xcessiv', 'bokeh', 'face_recognition', 'CompreFace']"
57,MemberOf,category,19,Data Processing Errors,12,"['face_recognition', 'superset', 'DIGITS', 'catboost']"
58,MemberOf,category,137,Data Neutralization Issues,17,"['PyTorchCV', 'mindsdb', 'deepface', 'machine-learning', 'mlflow', 'cornac', 'pytorch', 'open-webui', 'cornac']"
59,MemberOf,category,199,Information Management Errors,478,"['mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai', 'mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai', 'mindsdb', 'evidently', 'caffe', 'xcessiv', 'bokeh', 'face_recognition', 'CompreFace', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim']"
60,MemberOf,category,254,7PK - Security Features,157,"['mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim', 'mindsdb', 'DI-engine', 'ray', 'catboost', 'litellm', 'langflow', 'open-webui', 'bokeh', 'mlflow', 'feast', 'cortex', 'typer', 'xgboost', 'determined', 'streamlit', 'aim']"
61,MemberOf,category,255,Credentials Management Errors,12,"['ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit']"
62,MemberOf,category,310,Cryptographic Issues,24,"['ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit', 'ray', 'catboost', 'litellm', 'couler', 'determined', 'streamlit']"
63,MemberOf,category,361,7PK - Time and State,27,"['tensorflow', 'mindsdb', 'DI-engine', 'nut', 'lightly', 'catboost', 'rasa', 'shogun', 'pytorch', 'gensim', 'transformers', 'python-timbl']"
64,MemberOf,category,389,"Error Conditions, Return Values, Status Codes",78,"['mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai']"
65,MemberOf,category,399,Resource Management Errors,48,"['superset', 'mars', 'ray', 'PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
66,MemberOf,category,417,Communication Channel Errors,10,"['mindsdb', 'deepface', 'open-webui', 'machine-learning', 'cortex', 'danswerai']"
67,MemberOf,category,485,7PK - Encapsulation,86,"['mindsdb', 'ray', 'catboost', 'deepface', 'ColossalAI', 'litellm', 'open-webui', 'machine-learning', 'superset', 'evidently', 'pytorch', 'joliGEN', 'DIGITS', 'blaze', 'danswerai', 'mindsdb', 'evidently', 'caffe', 'xcessiv', 'bokeh', 'face_recognition', 'CompreFace']"
68,MemberOf,category,712,OWASP Top Ten 2007 Category A1 - Cross Site Scripting (XSS),14,"['PyTorchCV', 'mindsdb', 'deepface', 'machine-learning', 'mlflow', 'cornac', 'pytorch']"
69,MemberOf,category,714,OWASP Top Ten 2007 Category A3 - Malicious File Execution,3,"['open-webui', 'cornac']"
70,MemberOf,category,715,OWASP Top Ten 2007 Category A4 - Insecure Direct Object Reference,45,"['PyTorchCV', 'mindsdb', 'litellm', 'deepface', 'open-webui', 'xcessiv', 'mlflow', 'joliGEN', 'DIGITS', 'pytorch-lightning', 'danswerai', 'streamlit', 'aim']"
